# Time_stamp_start,Duration,Year,month,day,hour,min,second,num_of_detec_st,FG3S,FG8S,FG10S,FG11S,FG12S,FG13S,FG14S,FG16S
1546803403,840,2019,1,6,19,36,43,3,1,1,0,0,1,0,0,0
1546816483,1090,2019,1,6,23,14,43,4,1,1,0,0,1,1,0,0
1546817893,2910,2019,1,6,23,38,13,4,1,1,0,0,1,1,0,0
1546822333,3890,2019,1,7,0,52,13,3,1,0,0,0,1,0,0,0
1546828933,1550,2019,1,7,2,42,13,4,1,1,0,0,1,1,0,0
1546831483,10750,2019,1,7,3,24,43,3,1,1,0,0,1,0,0,0
1546842803,630,2019,1,7,6,33,23,3,1,1,0,0,1,0,0,0
1546844073,5690,2019,1,7,6,54,33,4,1,0,0,0,1,1,0,0
1546850073,3150,2019,1,7,8,34,33,3,1,0,0,0,1,0,0,0
1546853583,2570,2019,1,7,9,33,3,2,1,0,0,0,1,0,0,0
1546856953,4470,2019,1,7,10,29,13,2,1,0,0,0,1,0,0,0
1546862053,3360,2019,1,7,11,54,13,2,1,0,0,0,1,0,0,0
1546866133,3500,2019,1,7,13,2,13,3,1,1,0,0,1,0,0,0
1546870723,1120,2019,1,7,14,18,43,3,1,1,0,0,1,0,0,0
1546875753,1940,2019,1,7,15,42,33,3,1,0,0,0,1,0,0,0
1546878743,1660,2019,1,7,16,32,23,2,1,0,0,0,1,0,0,0
1546881823,1030,2019,1,7,17,23,43,3,1,1,0,0,1,0,0,0
1546887453,1050,2019,1,7,18,57,33,3,1,0,0,0,1,0,0,0
1546894373,1920,2019,1,7,20,52,53,2,1,0,0,0,1,0,0,0
1546898683,1300,2019,1,7,22,4,43,2,1,0,0,0,1,0,0,0
1546901143,5270,2019,1,7,22,45,43,3,1,1,0,0,1,0,0,0
1546910593,4120,2019,1,8,1,23,13,2,1,0,0,0,1,0,0,0
1546916553,1340,2019,1,8,3,2,33,2,1,0,0,0,1,0,0,0
1546923713,1840,2019,1,8,5,1,53,2,1,0,0,0,1,0,0,0
1546926963,1180,2019,1,8,5,56,3,2,1,0,0,0,1,0,0,0
1546928993,1050,2019,1,8,6,29,53,3,1,1,0,0,1,0,0,0
